month,hour,year,aboard,fatalities
1,12,1950,32,32
3,20,1950,13,13
3,14,1950,83,80
4,23,1950,35,35
5,20,1950,16,16
5,10,1950,39,39
5,17,1950,2,1
6,22,1950,65,28
6,19,1950,15,15
6,21,1950,52,46
6,21,1950,53,40
6,23,1950,58,58
6,23,1950,29,29
7,4,1950,26,25
8,22,1950,20,12
8,0,1950,55,55
9,14,1950,23,16
9,5,1950,26,26
9,1,1950,51,23
10,19,1950,30,28
11,9,1950,48,48
11,8,1950,21,21
11,18,1950,52,52
12,13,1950,31,31
12,7,1950,38,38
12,13,1950,18,2
1,14,1951,28,7
1,12,1951,10,10
1,14,1951,17,14
1,8,1951,16,16
1,16,1951,20,20
3,9,1951,25,16
3,23,1951,53,53
4,20,1951,22,22
4,11,1951,21,21
4,11,1951,43,43
4,19,1951,11,11
5,12,1951,25,23
6,3,1951,40,40
6,2,1951,50,50
7,22,1951,10,10
7,0,1951,37,37
8,9,1951,5,5
8,4,1951,50,50
9,10,1951,3,3
9,12,1951,39,39
10,18,1951,23,23
10,19,1951,27,25
11,9,1951,29,1
12,7,1951,3,3
12,15,1951,56,56
12,22,1951,40,26
12,22,1951,4,4
12,15,1951,28,28
1,19,1952,23,23
1,1,1952,43,36
1,15,1952,23,23
2,0,1952,63,29
2,17,1952,31,31
2,2,1952,16,3
3,8,1952,38,38
3,10,1952,47,44
3,3,1952,21,17
4,8,1952,2,2
4,8,1952,37,37
4,12,1952,69,52
4,3,1952,29,29
4,4,1952,50,50
5,8,1952,18,1
6,11,1952,8,8
7,11,1952,27,1
8,1,1952,57,7
8,7,1952,18,18
8,21,1952,4,2
9,15,1952,1,1
10,8,1952,16,16
11,3,1952,19,19
11,14,1952,44,44
11,20,1952,52,52
11,0,1952,38,37
12,4,1952,41,37
12,6,1952,115,87
1,20,1953,35,27
1,20,1953,7,7
1,4,1953,40,40
1,4,1953,26,26
2,5,1953,39,39
2,19,1953,35,30
2,17,1953,46,46
3,3,1953,11,11
3,4,1953,23,23
3,18,1953,35,35
4,2,1953,25,7
4,23,1953,10,8
5,16,1953,43,43
5,1,1953,18,18
5,14,1953,20,19
5,15,1953,34,0
6,16,1953,129,129
7,8,1953,58,58
7,23,1953,46,44
7,12,1953,21,21
8,2,1953,42,4
8,22,1953,25,1
9,18,1953,21,21
9,13,1953,3,3
9,8,1953,28,28
9,16,1953,41,25
10,0,1953,27,2
10,13,1953,21,21
10,8,1953,19,19
11,17,1953,10,10
12,6,1953,16,11
1,17,1954,17,16
1,9,1954,35,35
2,13,1954,35,35
2,10,1954,9,9
3,14,1954,20,20
3,22,1954,18,18
4,19,1954,21,21
4,10,1954,36,36
4,21,1954,25,25
4,9,1954,11,5
5,9,1954,28,3
7,12,1954,20,20
7,9,1954,18,10
8,15,1954,2,2
8,0,1954,30,30
8,17,1954,19,12
8,11,1954,21,21
8,22,1954,27,26
9,2,1954,56,28
9,20,1954,30,6
10,17,1954,21,21
10,23,1954,42,42
10,15,1954,8,3
11,11,1954,7,2
12,14,1954,32,26
12,23,1954,28,10
1,21,1955,18,18
1,9,1955,15,15
1,16,1955,39,0
2,3,1955,10,10
2,10,1955,13,13
2,18,1955,29,29
2,7,1955,16,16
2,9,1955,26,1
3,22,1955,35,13
3,2,1955,66,66
3,11,1955,23,4
4,15,1955,3,3
4,17,1955,19,19
5,11,1955,20,20
5,14,1955,2,2
6,1,1955,24,16
7,6,1955,43,22
7,7,1955,58,58
8,12,1955,30,30
8,14,1955,66,66
9,22,1955,47,15
9,6,1955,5,3
10,7,1955,66,66
10,16,1955,29,7
11,19,1955,44,44
11,23,1955,74,28
11,17,1955,11,10
11,22,1955,10,10
12,2,1955,6,6
12,20,1955,2,2
12,3,1955,17,17
1,0,1956,18,4
2,13,1956,40,40
2,13,1956,50,50
2,2,1956,64,52
2,14,1956,3,3
4,19,1956,36,22
4,8,1956,38,5
4,9,1956,6,6
4,9,1956,54,2
5,22,1956,2,2
6,1,1956,74,74
6,17,1956,45,32
6,10,1956,128,128
7,13,1956,35,1
7,15,1956,66,46
7,7,1956,18,18
8,20,1956,22,15
10,18,1956,5,5
10,22,1956,59,59
10,6,1956,31,0
10,22,1956,23,23
11,23,1956,80,5
11,9,1956,12,2
11,14,1956,25,25
11,17,1956,36,36
11,23,1956,35,34
11,7,1956,25,25
12,6,1956,16,14
12,19,1956,62,62
12,9,1956,5,5
12,21,1956,30,3
12,17,1956,21,21
12,15,1956,37,11
1,0,1957,10,1
1,9,1957,33,17
1,c16:50,1957,16,16
1,19,1957,70,2
1,11,1957,6,5
2,18,1957,101,21
2,20,1957,159,22
3,17,1957,5,5
3,11,1957,22,18
3,10,1957,15,15
3,13,1957,20,20
3,1,1957,25,24
3,1,1957,67,67
4,15,1957,30,26
4,7,1957,3,3
4,8,1957,24,24
5,21,1957,35,34
5,19,1957,37,37
5,3,1957,3,2
6,23,1957,13,9
6,7,1957,3,3
6,14,1957,18,14
7,3,1957,68,58
7,3,1957,16,1
8,14,1957,79,79
9,20,1957,24,12
9,21,1957,35,1
10,16,1957,7,7
10,18,1957,21,21
11,16,1957,44,44
11,20,1957,4,4
11,22,1957,58,43
11,11,1957,4,4
12,16,1957,61,61
12,13,1957,12,2
12,16,1957,23,19
2,19,1958,49,47
2,14,1958,44,23
2,5,1958,22,22
2,9,1958,42,35
3,19,1958,26,26
3,2,1958,4,4
3,16,1958,18,18
4,23,1958,47,47
4,9,1958,32,32
4,20,1958,16,16
4,8,1958,49,49
5,4,1958,65,61
5,11,1958,11,11
6,5,1958,57,1
6,13,1958,3,1
6,0,1958,15,15
8,1,1958,54,36
8,3,1958,99,99
9,6,1958,19,19
10,0,1958,23,23
10,11,1958,31,31
11,2,1958,20,17
11,20,1958,8,8
11,13,1958,36,36
12,17,1958,21,21
12,11,1958,12,9
12,12,1958,70,3
1,11,1959,5,5
1,20,1959,10,10
1,21,1959,52,51
1,15,1959,15,10
1,6,1959,6,2
2,23,1959,28,3
2,23,1959,73,65
2,1,1959,4,4
2,16,1959,24,14
3,11,1959,19,15
3,14,1959,7,5
3,8,1959,18,1
3,10,1959,24,24
4,16,1959,28,28
5,21,1959,5,5
5,16,1959,31,31
5,15,1959,44,2
6,17,1959,68,68
6,10,1959,1,0
8,10,1959,6,6
8,17,1959,3,2
8,16,1959,5,5
9,18,1959,20,20
9,17,1959,16,16
9,22,1959,65,53
9,23,1959,34,34
10,20,1959,19,1
10,15,1959,18,18
10,20,1959,27,26
11,23,1959,5,5
11,0,1959,42,42
11,5,1959,3,3
12,9,1959,26,25
12,16,1959,45,45
12,2,1959,3,3
12,7,1959,2,2
12,5,1959,2,1
1,10,1960,9,9
1,2,1960,34,34
1,15,1960,10,10
1,22,1960,50,50
1,18,1960,42,42
1,0,1960,9,9
2,13,1960,61,61
3,15,1960,63,63
3,11,1960,46,25
4,14,1960,18,2
4,14,1960,22,10
4,20,1960,51,37
4,13,1960,44,4
4,8,1960,13,13
5,19,1960,12,12
5,11,1960,4,4
6,4,1960,14,14
6,18,1960,54,54
7,14,1960,21,18
7,11,1960,18,18
7,4,1960,58,1
7,9,1960,11,1
7,13,1960,41,37
7,22,1960,13,13
7,10,1960,34,1
8,23,1960,20,20
8,6,1960,63,63
9,6,1960,94,80
9,23,1960,37,31
9,12,1960,21,21
10,17,1960,72,62
10,11,1960,12,12
10,21,1960,48,22
11,18,1960,33,33
12,19,1960,31,31
12,10,1960,128,128
12,14,1960,20,20
12,12,1960,37,28
1,7,1961,25,25
1,20,1961,106,4
1,1,1961,22,6
1,2,1961,21,21
1,12'20,1961,6,6
2,23,1961,26,26
2,10,1961,72,72
3,15,1961,12,12
3,20,1961,52,52
4,23,1961,24,24
5,2,1961,78,78
5,1,1961,61,61
6,4,1961,36,20
6,22,1961,7,1
6,20,1961,35,24
7,11,1961,122,17
7,1,1961,72,72
7,8,1961,67,67
7,2,1961,6,6
8,17,1961,39,39
8,18,1961,6,1
9,2,1961,78,78
9,3,1961,83,83
9,22,1961,77,77
9,8,1961,37,37
9,22,1961,16,16
9,18,1961,29,28
10,2,1961,34,34
11,14,1961,10,2
11,2,1961,45,45
11,21,1961,79,77
11,5,1961,52,52
12,10,1961,5,1
1,15,1962,6,6
2,10,1962,18,18
2,14,1962,2,2
3,10,1962,95,95
3,18,1962,111,111
3,17,1962,11,11
3,17,1962,15,15
3,1,1962,7,1
3,0,1962,107,107
3,17,1962,22,22
4,15,1962,31,31
5,13,1962,18,12
5,19,1962,25,23
5,21,1962,45,45
5,11,1962,26,26
6,12,1962,132,130
6,4,1962,112,112
7,23,1962,94,94
7,21,1962,6,6
7,15,1962,26,26
7,23,1962,40,27
8,13,1962,10,10
8,22,1962,105,15
8,15,1962,32,20
9,16,1962,12,12
9,21,1962,13,13
9,9,1962,34,11
9,11,1962,44,44
9,21,1962,76,28
10,18,1962,19,2
10,20,1962,52,1
11,14,1962,27,27
11,12,1962,18,18
11,14,1962,21,21
11,12,1962,26,26
11,3,1962,97,97
11,21,1962,51,25
12,17,1962,26,24
12,22,1962,5,5
12,2,1962,50,50
12,19,1962,33,33
12,1,1962,25,25
1,23,1963,6,5
1,15,1963,3,3
1,22,1963,8,8
2,17,1963,17,17
2,12,1963,8,3
2,13,1963,43,43
2,21,1963,26,0
3,10,1963,27,27
3,18,1963,4,4
3,13,1963,41,41
3,5,1963,4,4
3,2,1963,18,18
3,11,1963,10,10
4,12,1963,12,12
5,13,1963,55,55
6,10,1963,101,101
6,4,1963,29,29
6,12,1963,47,38
7,15,1963,43,7
7,9,1963,23,23
7,1,1963,63,63
8,13,1963,20,20
8,15,1963,2,1
8,12,1963,52,0
8,12,1963,16,16
9,6,1963,80,80
10,11,1963,6,6
10,10,1963,7,7
11,17,1963,24,22
11,18,1963,118,118
12,19,1963,3,3
12,20,1963,81,81
12,10,1963,3,3
12,23,1963,46,0
1,9,1964,30,28
1,23,1964,2,2
2,8,1964,10,10
2,15,1964,13,13
2,16,1964,32,31
2,4,1964,2,2
2,2,1964,58,58
2,6,1964,42,20
2,14,1964,83,83
3,11,1964,85,85
3,18,1964,28,28
3,23,1964,30,1
3,8,1964,3,3
3,7,1964,2,2
3,20,1964,5,5
3,7,1964,3,3
3,22,1964,45,45
3,6,1964,9,9
4,19,1964,49,49
4,15,1964,2,2
5,6,1964,44,44
5,20,1964,49,46
5,19,1964,84,79
5,10,1964,11,11
6,21,1964,3,3
6,22,1964,5,2
6,17,1964,57,57
6,4,1964,28,1
7,5,1964,5,5
7,12,1964,53,1
7,18,1964,39,39
7,2,1964,3,3
7,18,1964,76,0
7,16,1964,2,2
8,12,1964,3,3
8,1,1964,2,2
9,16,1964,39,39
9,19,1964,34,28
9,17,1964,2,2
10,5,1964,80,80
10,9,1964,2,2
10,11,1964,33,33
11,11,1964,5,5
11,20,1964,29,29
11,21,1964,43,31
11,13,1964,73,50
11,19,1964,14,6
12,19,1964,5,4
12,10,1964,17,17
12,9,1964,39,1
12,0,1964,3,3
12,2,1964,4,4
1,0,1965,3,3
1,12,1965,2,2
1,9,1965,17,17
2,8,1965,87,87
2,18,1965,84,84
2,4,1965,2,2
2,19,1965,2,2
3,10,1965,12,10
3,9,1965,8,8
3,14,1965,28,28
3,8,1965,53,50
4,0,1965,2,2
4,19,1965,2,2
4,14,1965,5,5
5,21,1965,49,30
5,23,1965,125,119
6,9,1965,18,18
6,1,1965,85,85
6,13,1965,153,0
7,5,1965,66,0
7,16,1965,41,41
7,16,1965,52,52
7,22,1965,19,16
7,17,1965,12,8
7,12,1965,11,11
7,7,1965,37,37
8,23,1965,7,7
8,11,1965,13,13
8,20,1965,30,30
8,13,1965,4,4
8,10,1965,72,59
9,9,1965,5,4
9,16,1965,11,11
9,11,1965,11,9
9,11,1965,30,30
9,15,1965,3,3
10,1,1965,4,4
10,7,1965,8,8
10,10,1965,37,1
10,1,1965,36,36
11,7,1965,68,68
11,19,1965,62,58
11,12,1965,30,30
11,17,1965,91,43
11,14,1965,2,2
11,17,1965,8,8
11,7,1965,13,13
12,16,1965,112,4
12,18,1965,32,32
12,15,1965,85,85
12,19,1965,2,2
12,17,1965,21,2
12,22,1965,3,3
1,20,1966,64,56
1,8,1966,117,117
1,10,1966,46,46
1,12,1966,3,3
1,17,1966,46,46
2,19,1966,133,133
2,18,1966,2,2
2,2,1966,4,4
3,20,1966,72,64
3,14,1966,124,124
3,8,1966,6,6
3,17,1966,7,6
3,18,1966,30,30
4,18,1966,2,2
4,20,1966,98,83
4,8,1966,49,49
5,8,1966,20,20
5,21,1966,2,2
6,8,1966,3,3
6,11,1966,12,2
6,6,1966,4,4
6,12,1966,26,24
7,15,1966,5,2
7,20,1966,3,3
7,18,1966,4,4
8,23,1966,42,42
8,18,1966,4,4
8,7,1966,6,6
8,18,1966,16,1
8,10,1966,9,9
9,0,1966,117,98
9,8,1966,27,1
9,13,1966,24,24
9,3,1966,2,2
10,19,1966,18,18
10,13,1966,11,11
10,20,1966,6,6
11,9,1966,2,2
11,22,1966,3,3
11,1,1966,19,19
11,20,1966,50,50
11,2,1966,3,3
11,6,1966,3,3
11,12,1966,30,30
11,16,1966,82,82
11,19,1966,25,25
12,2,1966,59,17
12,9,1966,29,29
12,19,1966,4,4
1,6,1967,9,9
1,16,1967,3,3
1,4,1967,2,2
2,0,1967,2,2
2,5,1967,10,10
2,12,1967,2,2
2,14,1967,63,22
2,8,1967,55,4
2,4,1967,20,12
3,2,1967,90,51
3,20,1967,38,38
3,11,1967,26,26
3,5,1967,4,4
3,16,1967,25,25
3,17,1967,25,25
3,7,1967,2,2
3,5,1967,2,2
3,0,1967,6,6
4,15,1967,2,2
4,16,1967,9,9
4,11,1967,15,15
4,17,1967,23,23
4,1,1967,130,126
4,19,1967,15,14
4,17,1967,21,19
5,16,1967,14,3
5,16,1967,4,4
5,18,1967,3,3
6,21,1967,88,88
6,10,1967,84,72
6,17,1967,2,2
6,5,1967,25,20
6,19,1967,56,35
6,21,1967,7,7
6,13,1967,34,34
6,9,1967,35,22
7,18,1967,21,21
7,11,1967,82,82
7,7,1967,42,42
7,10,1967,16,16
7,18,1967,7,7
9,5,1967,69,37
9,9,1967,8,3
10,9,1967,23,23
10,9,1967,3,2
10,7,1967,66,66
10,15,1967,4,4
11,11,1967,25,21
11,8,1967,2,2
11,10,1967,127,1
11,18,1967,36,1
11,20,1967,82,70
11,12,1967,5,5
11,4,1967,3,3
11,14,1967,26,26
12,15,1967,8,7
12,17,1967,3,2
12,15,1967,6,2
12,16,1967,2,2
12,13,1967,31,4
12,8,1967,51,44
12,12,1967,6,6
1,10,1968,4,3
1,16,1968,5,2
1,17,1968,42,42
1,14,1968,19,19
1,7,1968,4,4
2,15,1968,98,98
2,21,1968,63,21
2,19,1968,3,3
3,20,1968,63,63
3,8,1968,49,49
3,19,1968,14,14
3,23,1968,20,19
3,19,1968,2,2
3,13,1968,5,3
3,10,1968,61,61
3,17,1968,51,2
3,10,1968,2,2
4,15,1968,127,5
4,15,1968,4,4
4,10,1968,26,26
4,18,1968,128,123
4,23,1968,5,5
5,15,1968,85,85
5,12,1968,11,11
5,16,1968,155,155
5,21,1968,4,4
5,16,1968,23,23
6,13,1968,4,3
6,0,1968,63,6
6,16,1968,6,6
6,7,1968,29,29
6,12,1968,27,1
8,8,1968,3,3
8,14,1968,95,13
8,8,1968,15,3
8,13,1968,48,48
8,7,1968,37,35
8,9,1968,21,21
8,9,1968,40,40
8,1,1968,7,4
8,7,1968,2,0
9,21,1968,89,47
9,14,1968,9,2
9,10,1968,95,95
10,11,1968,3,3
10,16,1968,25,25
10,3,1968,4,4
10,18,1968,3,2
10,6,1968,23,23
10,17,1968,42,32
11,9,1968,8,7
11,1,1968,107,0
11,19,1968,9,9
11,13,1968,5,2
12,9,1968,39,39
12,18,1968,11,3
12,10,1968,3,3
12,22,1968,51,51
12,20,1968,47,20
12,4,1968,4,2
12,20,1968,45,27
